schooldbn,locationname,final_address,borough,district,prek_type,phone,contact_name,contact_email,website,meals,play,income_flg,uniforms,singlegender,programname1,programname2,programname3,programcode1,programcode2,programcode3,nyceec_current_all,nyceec_current_some,nyceec_current_none,nyceec_siblings_all,nyceec_siblings_some,nyceec_siblings_none,nyceec_services_all,nyceec_services_some,nyceec_services_none,nyceec_targetlang_all,nyceec_targetlang_some,nyceec_targetlang_none,nyceec_others_all,nyceec_others_some,nyceec_others_none,district_zonedsib_all,district_zonedsib_some,district_zonedsib_none,district_otherzone_all,district_otherzone_some,district_otherzone_none,district_districtsibs_all,district_districtsibs_some,district_districtsibs_none,district_outdissibs_all,district_outdissibs_some,district_outdissibs_none,district_indistrict_all,district_indistrict_some,district_indistrict_none,district_outdistrict_all,district_outdistrict_some,district_outdistrict_none,pkc_indistrict_all,pkc_indistrict_some,pkc_indistrict_none,pkc_outdistrict_all,pkc_outdistrict_some,pkc_outdistrict_none,lpga,halfday_offers,bus,subway_stop,rezoning,specialpriority,magnet,diversity,earlydropoff,latepickup,flexschedule,iepnote,enhancedlang_note,accessibility,seats,hours,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
08XANK,Just 4 Kids Kiddie Kollege,"781 Castle Hill Avenue, Bronx NY 10473",Bronx,8,NYCEEC,917-995-8041,Mercedes Dukes,djust4kids@aol.com,,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,08XANKFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx22, Bx36, Bx39, Bx5, BxM8, Q44-SBS",,,,,,,,,,,Contact program,18 Full-Day,8am-2:20pm,10473,40.822846,-73.848932,9,18,86,2086994,2036120001,Soundview-Castle Hill-Clason Point-Harding Park                            
07X043,P.S. 43 Jonas Bronck,"165 Brown Place, Bronx NY 10454",Bronx,7,District School,718-292-4502,Dr. Giovanna Delucchi,GDelucc@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x043,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,07X043FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33, M35",6,,District 7 is a choice district,,,,,,,,Not Accessible,54 Full-Day,Contact program,10454,40.806351,-73.921196,1,8,25,2000205,2022800040,Mott Haven-Port Morris                                                     
07X049,P.S. 49 Willis Avenue,"383 East 139th Street, Bronx NY 10454",Bronx,7,District School,718-292-4623,Frank Hernandez,fhernandez2@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x049,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,Spanish Dual Language Program,,07X049FDPK,07X049FDPKSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33",2 4 5 6,,District 7 is a choice district,,,,,,,,Not Accessible,54 Full-Day,8:20am-2:40pm,10454,40.810085,-73.923102,1,8,39,2000626,2023020040,Mott Haven-Port Morris                                                     
07X065,P.S. 65 Mother Hale Academy,"677 East 141st Street, Bronx NY 10454",Bronx,7,District School,718-292-4628,Jasmine Gonzalez,JGonzalez@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x065,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,07X065FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx15, Bx17, Bx19, Bx33, Bx4, Bx4A",6,,District 7 is a choice district,,,,,,,,Fully Accessible,36 Full-Day,Contact program,10454,40.807335,-73.912731,1,8,33,2003834,2025710001,Mott Haven-Port Morris                                                     
07X154,P.S. 154 Jonathan D. Hyatt,"333 East 135th Street, Bronx NY 10454",Bronx,7,District School,718-292-4742,Dr. Alison Coviello,acoviello@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x154,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07X154FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33, M100, M15, M15-SBS",4 5 6,,District 7 is a choice district,,,,3:35pm,,,,Not Accessible,36 Full-Day,8:15am-2:35pm,10454,40.808034,-73.926204,1,8,23,2097030,2022980001,Mott Haven-Port Morris                                                     
07X157,P.S. 157 Grove Hill,"757 Cauldwell Avenue, Bronx NY 10456",Bronx,7,District School,718-292-5255,Ramona Duran,rduran@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x157,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07X157FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6",2 5,,District 7 is a choice district,,,,,,,,Not Accessible,54 Full-Day,8am-2:20pm,10456,40.819258,-73.908553,1,17,75,2004464,2026250001,Melrose South-Mott Haven North                                             
07X161,P.S. 161 Juan Ponce De Leon School,"628 Tinton Avenue, Bronx NY 10455",Bronx,7,District School,718-292-5478,Eliamarie Soto,esoto2@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x161,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,Spanish Dual Language Program,,07X161FDPK,07X161FDPKSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx17, Bx19, Bx4, Bx46, Bx4A",2 5 6,,District 7 is a choice district,,,,,,,,Not Accessible,90 Full-Day,8am-2:20pm,10455,40.814916,-73.905518,1,8,79,2004773,2026640029,Melrose South-Mott Haven North                                             
07X179,P.S. 179,"468 East 140th Street, Bronx NY 10454",Bronx,7,District School,718-292-2237,Sherry Font Williams,swillia4@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x179,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07X179FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx4A",2 5 6,,District 7 is a choice district,,,7:40am,,,,,Partially Accessible,36 Full-Day,8am-2:20pm,10454,40.809534,-73.919903,1,8,39,2000308,2022840034,Mott Haven-Port Morris                                                     
07X277,P.S. 277,"519 Saint Anns Avenue, Bronx NY 10455",Bronx,7,District School,718-292-3594,Rosalind Hoyte,RHoyte@schools.nyc.gov,ps277x.com,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,Spanish Dual Language Program,,07X277FDPK,07X277FDPKSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",2 5 6,,District 7 is a choice district,,,,,,,,Not Accessible,54 Full-Day,Contact program,10455,40.813517,-73.913402,1,8,43,2000114,2022740023,Mott Haven-Port Morris                                                     
07X359,Concourse Village Elementary School,"750 Concourse Village West, Bronx NY 10451",Bronx,7,District School,718-402-7503,Alexa Sorden,asorden@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x359,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07X359FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4",2 4 5 B D,,District 7 is a choice district,,,,,,"If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.",,Partially Accessible,18 Full-Day,8:45am-3:05pm,10451,40.823174,-73.923326,4,17,61,2002454,2024430079,East Concourse-Concourse Village                                           
07X369,Young Leaders Elementary School,"468 East 140th Street, Bronx NY 10454",Bronx,7,District School,718-292-7391,Jaleelah Cooke,JCooke@schools.nyc.gov,schools.nyc.gov/schoolportals/07/x369,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,07X369FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx4A",2 5 6,,District 7 is a choice district,,,,,,,,Partially Accessible,36 Full-Day,Contact program,10454,40.809534,-73.919903,1,8,39,2000308,2022840034,Mott Haven-Port Morris                                                     
07XAEU,St. Peter and Paul Parochial Elementary School,"838 Brook Avenue, Bronx NY 10451",Bronx,7,NYCEEC,718-665-2056,Lynee Lopez,Principal@ssppschoolsite.org,ssppschoolsite.org,Breakfast/Lunch/Snack(s),Contact program,,Contact program,,Full-Day Program,,,07XAEUFDPK,,,x,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx13, Bx15, Bx17, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6",2 5,,,,,Contact program for time,,,,,Contact program,72 Full-Day,Contact program,10451,40.822015,-73.910877,1,17,71,2117393,2023600080,Melrose South-Mott Haven North                                             
07XAFP,East Side House,"201 Saint Anns Avenue, Bronx NY 10454",Bronx,7,NYCEEC,718-292-5335,Miriam Perez-Colon,dheyward@eastsidehouse.org,eastsidehouse.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAFPFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx15, Bx17, Bx33",6,,,,,,,,,Enhanced Language Support: Spanish,Contact program,15 Full-Day,Contact program,10454,40.805742,-73.918238,1,8,25,2090986,2022630019,Mott Haven-Port Morris                                                     
07XAHR,Concord Head Start/Early Learn Center,"560 Concord Avenue, Bronx NY 10455",Bronx,7,NYCEEC,718-292-8566,Sandra Lay,ltaylor@cmcs.org,cmcs.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,Half-Day Program,,07XAHRFDPK,Contact program to apply.,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,Who Got Offers Last Year refers only to full-day applicants.,"Bx15, Bx17, Bx19, Bx4, Bx41, Bx46, Bx4A",2 5 6,,,,,,,,,,Contact program,"18 Full-Day, 18 Half-Day",Contact program,10455,40.813452,-73.907994,1,8,73,2096871,2026410042,Melrose South-Mott Haven North                                             
07XAHW,Betances Early Childhood Center (NYCHA),"528 East 146th Street, Bronx NY 10455",Bronx,7,NYCEEC,718-665-1100,Quintina Brown,qbrown@shelteringarmsny.org,shelteringarmsny.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Yes,,Full-Day Program,,,07XAHWFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 5 6,,,,,,,,,Enhanced Language Support: Spanish,Contact program,20 Full-Day,Contact program,10455,40.812728,-73.915397,1,8,43,2093913,2022720038,Mott Haven-Port Morris                                                     
07XAKO,Episcopal Social Services Head Start (Paul's House),"500 Bergen Avenue, Bronx NY 10455",Bronx,7,NYCEEC,718-401-5192,Annette Dames,jruiz@shelteringarmsny.org,shelteringarmsny.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAKOFDPK,,,x,,,x,,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 5,,,,,8am,5:50pm,,,Enhanced Language Support: Spanish,Contact program,14 Full-Day,Contact program,10455,40.814876,-73.918234,1,8,43,2112706,2022920013,Mott Haven-Port Morris                                                     
07XAMR,Iola Jordan Day Care,"421 East 161st Street, Bronx NY 10451",Bronx,7,NYCEEC,718-402-4166,Vanessa Washington,vjw1332fultondcc@outlook.com,,Breakfast/Lunch/Snack(s),Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAMRFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx13, Bx15, Bx21, Bx32, Bx35, Bx41, Bx41-SBS, Bx6",,,,,,7:30am,5:45pm,,,,Contact program,60 Full-Day,Contact program,10451,40.824002,-73.913179,3,17,141,2001505,2023830012,Morrisania-Melrose                                                         
07XAMT,East Side House,"375 East 143rd Street, Bronx NY 10454",Bronx,7,NYCEEC,718-292-5335,Miriam Perez-Colon,dheyward@eastsidehouse.org,eastsidehouse.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAMTFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 4 5 6,,,,,,5:45pm,,,,Contact program,48 Full-Day,Contact program,10454,40.812702,-73.921622,1,8,41,2091101,2023060009,Mott Haven-Port Morris                                                     
07XAMV,Children's Pride,"414 Morris Avenue, Bronx NY 10451",Bronx,7,NYCEEC,718-292-5335,Miriam Perez-Colon,dheyward@eastsidehouse.org,eastsidehouse.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAMVFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 4 5 6,,,,,,5:45pm,,,Enhanced Language Support: Spanish,Contact program,31 Full-Day,Contact program,10451,40.815528,-73.923923,1,8,51,2097853,2023240001,Mott Haven-Port Morris                                                     
07XAMW,East Side House,"200 Alexander Avenue, Bronx NY 10454",Bronx,7,NYCEEC,718-292-5335,Miriam Perez-Colon,dheyward@eastsidehouse.org,eastsidehouse.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XAMWFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33",4 5 6,,,,,,,,,Enhanced Language Support: Spanish,Contact program,20 Full-Day,Contact program,10454,40.808753,-73.926081,1,8,23,2091097,2022980040,Mott Haven-Port Morris                                                     
07XANA,South Bronx Head Start I,"490 East 143rd Street, Bronx NY 10454",Bronx,7,NYCEEC,718-292-7250,Ms. Tajudeen,southbronxhs@aol.com,southbronxheadstart.com,Breakfast/Lunch/Snack(s),Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,07XANAFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 5 6,,,,,,,,,Enhanced Language Support: Spanish,Contact program,36 Full-Day,Contact program,10454,40.811121,-73.917603,1,8,41,2000433,2022870135,Mott Haven-Port Morris                                                     
07XANC,Salvation Army - Bronx Citadel,"425 E 159th Street, Bronx NY 10451",Bronx,7,NYCEEC,212-352-5575,Angela Rosario,novie.walker@use.salvationarmy.org,,Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,07XANCFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx13, Bx15, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, Bx6-SBS",,,,,,,,,,,Contact program,20 Full-Day,Contact program,10451,40.822685,-73.913636,3,17,141,2092353,2023810029,Morrisania-Melrose                                                         
07XANE,Anna Lefkowitz DCC,"690 Westchester Avenue, Bronx NY 10455",Bronx,7,NYCEEC,718-665-9410,Judy Velez,judy.velez.phm@gmail.com,www.philiphmichaels.org,Contact program,Contact program,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,07XANEFDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This program is new to the 2018 application.,,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6",2 5 6,,,,,,,,,,Contact program,15 Full-Day,Contact program,10455,40.816584,-73.907585,1,17,79,2091976,2026540002,Melrose South-Mott Haven North                                             
07XANX,Highbridge Advisory Council Marshall England ELC,"800 Concourse Village East, Bronx NY 10451",Bronx,7,NYCEEC,718-992-1321,Wanda Carter,WCarter@hacfs.com,HACFS.org,Contact program,Contact program,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,07XANXFDPK,,,x,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx13, Bx15, Bx2, Bx21, Bx32, Bx41, Bx41-SBS, Bx6",4 B D,,,,,,,,,,Contact program,40 Full-Day,Contact program,10451,40.82388,-73.919379,4,16,173,2001910,2024200040,East Concourse-Concourse Village                                           
09X204,P.S. 204 Morris Heights,"1780 Dr. Martin Luther King Jr. Boulevard, Bronx NY 10453",Bronx,9,District School,718-960-9520,Lilly Nissing,lnissing@schools.nyc.gov,https://ps204.org/,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,09X204FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,,x,,,,x,,,,,,,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4",4 B D,,,,,7:30am,,,,,Fully Accessible,36 Full-Day,Contact program,,,,,,,,,
07XARA,"H.C.C. Children's Center, Inc.","475 Grand Concourse, Bronx NY 10451",Bronx,7,NYCEEC,718-518-4209,Paulina Martinez,pmartinez@hostos.cuny.edu,hostos.cuny.edu/childrenscenter,Breakfast/Lunch,Outdoor (Onsite) Playspace,,Contact program,,Half-Day Program,,,Contact program to apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33",2 3 4 5,,,,,Contact program,Contact program,,,,Contact program,36 Half-Day,Contact program,10451,40.817954,-73.927599,1,17,63,2001038,2023460029,West Concourse                                                             
07XATI,Sunshine Day Care,"416 Willis Avenue, Bronx NY 10454",Bronx,7,NYCEEC,718-989-9804,Elizabeth Goyens,elizabeth@sunshinenewyork.com,sunshinenewyork.com,Breakfast/Lunch/Snack(s),Outdoor (Offsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,07XATIFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 5 6,,,,,Contact program for time,Contact program for time,,,,Contact program,72 Full-Day,Contact program,10454,40.813069,-73.919978,1,8,43,2098220,2022890003,Mott Haven-Port Morris                                                     
07XAZD,A House on Beekman Preschool,"390 Jackson Avenue, Bronx NY 10454",Bronx,7,NYCEEC,917-801-3884,Sloan Hedrick,sloan@ahouseonbeekman.org,www.ahouseonbeekman.org,Breakfast/Lunch/Snack(s),Contact program,,No,,Full-Day Program,,,07XAZDFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx17, Bx19, Bx33, Bx4A",6,,,,,,5:30pm,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,15 Full-Day,Contact program,10454,40.809153,-73.910547,1,8,35,2003865,2025730071,Mott Haven-Port Morris                                                     
07XBAS,Sunshine LC of Morris Ave LLC,"253 East 142nd Street, Bronx NY 10451",Bronx,7,NYCEEC,718-989-9807,Karyn Alston,jeff@sunshinenewyork.com,www.sunshinenewyork.com,Breakfast/Lunch/Snack(s),Contact program,,No,,Full-Day Program,,,07XBASFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",2 4 5 6,,,,,,5:45pm,,,,Contact program,54 Full-Day,8am-2:20pm,10451,40.814815,-73.925145,1,8,51,2127296,2023347501,Mott Haven-Port Morris                                                     
07XBBK,Harriet Tubman Sheltering Arm,"565 Morris Avenue, Bronx NY 10451",Bronx,7,NYCEEC,917-410-3851,Karen Brown,kbrown@sheteringarmsny.org,,Contact program,Contact program,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,07XBBKFDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This program is new to the 2018 application.,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, BxM4",2 4 5,,,,,,,,,,Contact program,54 Full-Day,Contact program,10451,40.818074,-73.922457,1,17,65,2000968,2023380003,Melrose South-Mott Haven North                                             
07Z028,Learning Through Play Pre-K Center at 105 Willis Avenue,"105 Willis Avenue, Bronx NY 10454",Bronx,7,Pre-K Center,718-401-0510,Carlyn Rahynes,crahyne2@schools.nyc.gov,schools.nyc.gov/Academics/EarlyChildhood/District7PKC,Breakfast/Lunch,Indoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07Z028FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,Bx15,6,,,,,,,,,,Contact program,36 Full-Day,8:10am-2:30pm,10454,40.805788,-73.925307,1,8,19,2117111,2022957501,Mott Haven-Port Morris                                                     
07Z029,Learning Through Play Pre-K Center at 535 Union Avenue,"535 Union Avenue, Bronx NY 10455",Bronx,7,Pre-K Center,718-292-4120,Carlyn Rahynes,crahyne2@schools.nyc.gov,schools.nyc.gov/Academics/EarlyChildhood/District7PKC,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,07Z029FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,"Bx17, Bx19",6,,,,,,,,,,Contact program,108 Full-Day,8:10am-2:30pm,10455,40.812067,-73.905569,1,8,31,2127407,2025827501,Mott Haven-Port Morris                                                     
08X036,P.S. 36 Unionport,"1070 Castle Hill Avenue, Bronx NY 10472",Bronx,8,District School,718-822-5345,Elvira Maresca,emaresca@schools.nyc.gov,schools.nyc.gov/schoolportals/08/x036,Breakfast/Lunch,Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,08X036FDPK,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,x,,,x,,,,,,,,,"Bx22, Bx4, Bx5, BxM8, Q44-SBS, Q50",6,,,,,,,,,,Not Accessible,54 Full-Day,Contact program,10472,40.829344,-73.850428,9,18,78,2026706,2038170001,Westchester-Unionport                                                      
08X048,P.S. 48 Joseph R. Drake,"1290 Spofford Avenue, Bronx NY 10474",Bronx,8,District School,718-589-4312,Dwayne D'Avilar,Ddavilar@schools.nyc.gov,schools.nyc.gov/schoolportals/08/x048,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,08X048FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"Bx19, Bx46, Bx5, Bx6",6,,,,,,,,,,Not Accessible,72 Full-Day,Contact program,10474,40.814425,-73.886953,2,17,93,2006680,2027660001,Hunts Point                                                                
08X062,P.S. 62 Inocensio Casanova,"660 Fox Street, Bronx NY 10455",Bronx,8,District School,718-585-1617,Lisa Manfredonia,lmanfre2@schools.nyc.gov,schools.nyc.gov/schoolportals/08/x062,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,08X062FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx6",2 5 6,,,,,,,,,,Not Accessible,54 Full-Day,Contact program,10455,40.814031,-73.900609,2,8,83,2005089,2026830065,Longwood                                                                   
08X072,P.S. 72 Dr. William Dorney,"2951 Dewey Avenue, Bronx NY 10465",Bronx,8,District School,718-822-5311,Margarita Colon,vbrugman@schools.nyc.gov,PS72.ORG,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,08X072FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"Bx40, Bx42, Bx8, BxM9",,"This school may be included in a rezoning proposal for the 2018-2019 school year. For more information about the school's status, please see: schools.nyc.gov/community/planning/changes/bronx",,,,,,,,,Partially Accessible,72 Full-Day,8am-2:20pm,10465,40.822604,-73.818247,10,13,158,2077162,2054400001,Schuylerville-Throgs Neck-Edgewater Park                                   
08X075,P.S. 75 School of Research and Discovery,"984 Faile Street, Bronx NY 10459",Bronx,8,District School,718-860-1630,Yokasta Pena,ypena5@schools.nyc.gov,schools.nyc.gov/schoolportals/08/x075,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,08X075FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,,x,,,,,,,,,,"Bx11, Bx19, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",2 5 6,,,,,,,,,,Not Accessible,72 Full-Day,8:20am-2:40pm,10459,40.822719,-73.889435,2,17,119,2006079,2027470001,Hunts Point                                                                
08X093,P.S. 93 Albert G. Oliver,"1535 Story Avenue, Bronx NY 10473",Bronx,8,District School,718-430-1700,Jonathan Kaplan,JKaplan15@schools.nyc.gov,schools.nyc.gov/schoolportals/08/x093,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,08X093FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"Bx27, Bx4, Bx4A, Bx5",6,,,,,,,,,,Not Accessible,90 Full-Day,Contact program,10473,40.821776,-73.876918,9,17,28,2097341,2036520001,Soundview-Castle Hill-Clason Point-Harding Park                            
